country,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
St. Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.9,,,,,,,,,
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,96,,,,,,,,,,92.2,,,,,87.3,,,,,,,,,,,
Lesotho,,,,,,,,,,,,,,,,,,,,,,,56,,,,,,,,,,,,,8.68,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.184,,,,,,1.92,,,,,,3.6,,,,10.4,,,,,
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.354,,,,0.331,,,,,,,,,,,,,0.449,0.696,,,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.61,,,,,,,20.8,,,,,23.2,,,,,15.7,14.7,,,
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.2,,,87.8,,,,,,,74.6,,,,,,,,87.8,,,,,,
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,0,,,,,0,,0,,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.5,,,,,,,,,,,,,,,3.38,,,,,,,,,
Madagascar,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,97.2,,,,,,95.9,,,,,,,,,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.3,,,,,76.7,,,,,76.6,,,76.3,
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.5,,,,,,44.4,,,,,22.8,,,,,,,,,
Mali,,,,,,,,,,,,,,,,,,,,,,,97,,,,,,,,,,,,,,,,,,,97.9,,,,,,,,,,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,,,,,,,35.1,,,,,36.5,,,,,60.4,64,,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,98.6,,,,,,,,,,,,,89,,,,,,,,,,,,,,,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,41.5,,,43.9,,,,,,,
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,89.3,,,,,,,,,,,78,,,,,,,,,,,,,,73,
Mauritania,,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,93.7,,,,,90.6,,,,,,,,,,,
Mauritius,,,,,,,,,,,76.9,,,,,,,,,,,,,,,,,,,,74.8,,,,,,,,67.7,,,,,,,,,,,,,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.4,,,,,,,,88,,,85.9,,,,,,,,,,,
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,82,,,,,,45.6,,,,26.9,,,,,22.4,,,,,,,,,,,
Namibia,,,,,,,,,,,,,,,,,,,,,82.1,,,,,,68.3,,,,70.2,,,,,,,69.8,,,,,,,,,,,,,,
Niger,,,,,,,,,,,,,,,,,,,,,,,,82,,,,,,,,,,,,,,,,,66.7,,,,,,,,,,,
Nigeria,,,,,,,,,,,,,,,,,,,,,,,70.1,,,,,,,,,,,,,53.4,,,,,47.6,,,,,44.2,,,,,,
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,76.7,,,,,
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,2.31,,,,,3.54,,,,,,0.59,,,,,0.657,,,,,0.562,,,,
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.2,,,,,,33.7,,,,,27.9,,,,,,,,,
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.5,,,,,,98.1,,,,,,,,,,
New Zealand,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,57.5,,,,61.7,,,,,,
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,93.9,,,,,,,,,90.4,,,88.4,,,,,,,,,,,,,
Pakistan,,,,,,,,,,,98,,,,,,,,,,,,,,,,96.8,,,,,,,,,94.3,,,,,,,,94,,,,,,,,
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.7,,,,,,,,
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.1,,,82.2,,,,,,,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.368,,,,,0.255,,,,,,,,,,,
Poland,,,,,,16.6,,,,,12.3,,,,,8.74,,,,,9.79,,,,,,,10.2,,,,,8.46,,,,,9.45,,,,,9.33,,,,,9.6,,,,
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,,,,,,,,,,3.37,,,,,1.78,,,,,1.54,,,,,,
North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.3,,,,,,,,,,,
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,59.3,,,,,,,78.7,,,,,,,,,,,,,,,,,,
Paraguay,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,71.4,,,,,,,,,,,,78.6,,,,
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.9,,,,45.2,,,,,,,,,,,
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.9,,,,,,71.5,,,,,59,,,,,,,,,,,
Romania,,,,,,35.5,,,,,39.9,,,,,36.1,,,,,41.4,,,,,44.6,,,,,,,23.9,,,,,12.9,,,,,16,,,,,16.9,17.7,,,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.8,,,,,,,19.9,,,,,,,,,,,,,,,
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,,,,,,,,,,,,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,88,,,,,,,,,,
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.2,,,,,
Senegal,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,93,,,,,,,,,,,,,,
Singapore,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,88.9,,,,,,,,,,,,,24.2,,,,,21.5,,,,,,,,,,,
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.1,,,,,,,,55.2,,,,,67.6,,,,,,,,,,,
Somalia,,,,,,,,,,,,,,,,,,,,,,,97,,,,,,,,,,,,,99.7,,,99.5,,,,,,,,,,,,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.24,,,,,2.52,2.81,,,
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.5,,,,,
Suriname,,,,,,,,,,,,,,,,,,,,,,,89.1,,,,,,,,,,,,,92.5,,,,,,70,,,,,,,,,,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.12,,,,,5.12,,,,,3.27,,,,,4.61,,4.09,,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.734,,,,,0.492,,,,,0.248,0.311,,,
